	Nucleoplasm	N. membrane	Nucleoli	N. fibrillar c.	N. speckles	N. bodies	ER	Golgi app.	Peroxisomes	Endosomes	Lysosomes	Int. fil.	Actin fil.	F. a. sites	Microtubules	M. ends	Cyt. bridge	Mitotic spindle	MTOC	Centrosome	Lipid droplets	PM	C. Junctions	Mitochondria	Aggresome	Cytosol	C. bodies	Rods & Rings
TET1	0.37310370802879333	0.3765091896057129	0.1267835944890976	0.1279684454202652	0.09852319955825806	0.1789405345916748	0.20308783650398254	0.18999557197093964	0.004255506210029125	0.00816289335489273	0.006610127165913582	0.118131622672081	0.11551316827535629	0.11534880101680756	0.04896489530801773	0.0026547317393124104	0.13172470033168793	0.06226083263754845	0.1433064341545105	0.17139816284179688	0.11258040368556976	0.2495804876089096	0.1530108004808426	0.09756768494844437	0.04610584303736687	0.44622287154197693	0.4126240015029907	0.026787318289279938
JAK2	0.7370113134384155	0.553878664970398	0.0835176408290863	0.06618412584066391	0.03408161550760269	0.2148260772228241	0.049956079572439194	0.08118873089551926	0.0010003057541325688	0.0002448957529850304	0.0001384973875246942	0.09519688040018082	0.08030233532190323	0.03280274197459221	0.019028713926672935	0.0008750494453124702	0.10450110584497452	0.07982297986745834	0.04709639400243759	0.10055328905582428	0.009872213006019592	0.11072948575019836	0.029626699164509773	0.046955306082963943	0.007988558150827885	0.38256749510765076	0.42022693157196045	0.002602148102596402
PRKAA2	0.2834896445274353	0.0680241510272026	0.14891691505908966	0.062083519995212555	0.06665880233049393	0.10759599506855011	0.12492635846138	0.23866420984268188	0.0037832483649253845	0.016062408685684204	0.010001066140830517	0.1534854769706726	0.06669948250055313	0.13943742215633392	0.014096690341830254	0.002130449516698718	0.04577618092298508	0.08164884150028229	0.07184020429849625	0.17707620561122894	0.19503141939640045	0.27742302417755127	0.06429906189441681	0.07531877607107162	0.011995822191238403	0.6020326614379883	0.2220810204744339	0.04932835325598717
DNMT3B	0.38317492604255676	0.05336381494998932	0.1617758721113205	0.17902109026908875	0.0671573206782341	0.2051209807395935	0.17707718908786774	0.28687533736228943	0.007116218097507954	0.017129680141806602	0.011902330443263054	0.2204446643590927	0.161460742354393	0.12125720083713531	0.037318356335163116	0.00556284049525857	0.11817148327827454	0.06373193860054016	0.1368827074766159	0.2033289670944214	0.21927575767040253	0.34546011686325073	0.15426452457904816	0.14286230504512787	0.10757303237915039	0.43827638030052185	0.3830033242702484	0.030563104897737503
PRMT1	0.4928697645664215	0.02790185436606407	0.2136513888835907	0.12587714195251465	0.08286599069833755	0.22741520404815674	0.1529446691274643	0.13373804092407227	0.001338465022854507	0.0020892603788524866	0.0029361506458371878	0.0844806581735611	0.06410519033670425	0.03393203020095825	0.036332663148641586	0.001032221713103354	0.062750443816185	0.052607402205467224	0.05529477074742317	0.07119601219892502	0.03229174390435219	0.2774007320404053	0.059856705367565155	0.16561470925807953	0.007663520518690348	0.6935586929321289	0.20112669467926025	0.009649943560361862
BRPF1	0.25574713945388794	0.06259176135063171	0.3481198847293854	0.21023721992969513	0.08450333774089813	0.241665780544281	0.15959632396697998	0.3473562002182007	0.026296095922589302	0.029296686872839928	0.02813594788312912	0.12200012803077698	0.07216864824295044	0.06240508332848549	0.04548617824912071	0.006921134423464537	0.09432733803987503	0.10059937834739685	0.14755232632160187	0.1975480318069458	0.08079434186220169	0.2277623564004898	0.05537106469273567	0.23451365530490875	0.046095285564661026	0.6183554530143738	0.20288175344467163	0.028534136712551117
YWHAG	0.40645891427993774	0.06156254559755325	0.19882480800151825	0.0686497837305069	0.0833946019411087	0.10913845896720886	0.16739961504936218	0.38111963868141174	0.0027077558916062117	0.011989623308181763	0.008312192745506763	0.28022441267967224	0.11247949302196503	0.1992182731628418	0.017008382827043533	0.0017217325512319803	0.08092664182186127	0.07459165900945663	0.1404237151145935	0.26451799273490906	0.1176135390996933	0.3719758987426758	0.13965268433094025	0.17995485663414001	0.028987931087613106	0.39234650135040283	0.16131989657878876	0.04580027237534523
CHD1	0.4326838552951813	0.03320726752281189	0.3365685045719147	0.20866166055202484	0.1311548352241516	0.3320692777633667	0.15755043923854828	0.20853322744369507	0.004812236409634352	0.010184567421674728	0.01124561671167612	0.13191738724708557	0.0708630308508873	0.07275263220071793	0.05477974936366081	0.014186916872859001	0.17806480824947357	0.09189856797456741	0.1357838213443756	0.1658676564693451	0.03535783663392067	0.25754833221435547	0.1408528834581375	0.15558204054832458	0.049457043409347534	0.526881754398346	0.40035682916641235	0.047195401042699814
NEDD4	0.6835708618164062	0.10201313346624374	0.19972386956214905	0.13871681690216064	0.07903653383255005	0.2739675045013428	0.087262362241745	0.33529314398765564	0.01654861308634281	0.006004893220961094	0.007999296300113201	0.18688249588012695	0.15071497857570648	0.07432112097740173	0.0437251441180706	0.07594107836484909	0.21203593909740448	0.07752804458141327	0.17615114152431488	0.22022615373134613	0.04180991277098656	0.20773319900035858	0.10860870778560638	0.16987384855747223	0.07372482120990753	0.40531182289123535	0.1687096655368805	0.022587869316339493
UHRF2	0.6181735396385193	0.05371095612645149	0.12432102859020233	0.0742909386754036	0.1390203833580017	0.47810736298561096	0.10720271617174149	0.15885744988918304	0.0020942818373441696	0.0032009752467274666	0.002657015575096011	0.1541532278060913	0.1502244919538498	0.08604743331670761	0.04705435037612915	0.007390823680907488	0.13367225229740143	0.04391317442059517	0.07760116457939148	0.17403501272201538	0.026638351380825043	0.17916762828826904	0.07634032517671585	0.08737771958112717	0.02732023596763611	0.27300161123275757	0.3642134666442871	0.022381866350769997
HDAC3	0.6840254664421082	0.015600297600030899	0.12801599502563477	0.3490198254585266	0.025075014680624008	0.18323054909706116	0.06201149895787239	0.23304009437561035	0.01018218882381916	0.00035259235301055014	0.00036796717904508114	0.2104845494031906	0.01501086913049221	0.02108772099018097	0.014668960124254227	0.0013967495178803802	0.12682117521762848	0.13347333669662476	0.10873289406299591	0.11372215300798416	0.0049704876728355885	0.2059069722890854	0.05750468745827675	0.1208169087767601	0.02137100137770176	0.5628105998039246	0.05472521111369133	0.006337461993098259
HDAC11	0.4703618884086609	0.11311300843954086	0.3489220440387726	0.3699533939361572	0.14550450444221497	0.2475258708000183	0.11032193154096603	0.15918892621994019	0.012962679378688335	0.0040235863998532295	0.002502147573977709	0.09370316565036774	0.10629785060882568	0.05272366851568222	0.04369954764842987	0.005803503096103668	0.12191187590360641	0.04121563583612442	0.12865985929965973	0.28680989146232605	0.04499628022313118	0.2450954020023346	0.10565311461687088	0.15801459550857544	0.057115085422992706	0.37660202383995056	0.3062495291233063	0.007816014811396599
TET2	0.5177136063575745	0.0707022026181221	0.13525927066802979	0.04154288023710251	0.057943202555179596	0.14082151651382446	0.16868773102760315	0.17327360808849335	0.003787006251513958	0.003952571656554937	0.003870374523103237	0.09789230674505234	0.07093770802021027	0.11381068825721741	0.013041917234659195	0.0008446322754025459	0.05053694546222687	0.05455102026462555	0.06052670255303383	0.1624622642993927	0.0660741925239563	0.23736660182476044	0.06419961899518967	0.15042705833911896	0.008289512246847153	0.48290425539016724	0.31153032183647156	0.036807458847761154
