filename,if_plate_id,position,sample,locations,antibody,ensembl_ids,gene_names
B2AI_1_untreated_F3_R6_,B2AI_1_untreated,F3,R6,,HPA030991,ENSG00000108840,
B2AI_1_untreated_F3_R7_,B2AI_1_untreated,F3,R7,,HPA030991,ENSG00000108840,
B2AI_1_untreated_F3_R8_,B2AI_1_untreated,F3,R8,,HPA030991,ENSG00000108840,
B2AI_1_untreated_F1_R1_,B2AI_1_untreated,F1,R1,,HPA035354,ENSG00000138376,
B2AI_1_untreated_F1_R2_,B2AI_1_untreated,F1,R2,,HPA035354,ENSG00000138376,
B2AI_1_untreated_F1_R3_,B2AI_1_untreated,F1,R3,,HPA035354,ENSG00000138376,
B2AI_1_untreated_F1_R4_,B2AI_1_untreated,F1,R4,,HPA035354,ENSG00000138376,
B2AI_1_untreated_F1_R5_,B2AI_1_untreated,F1,R5,,HPA035354,ENSG00000138376,
B2AI_1_untreated_F1_R6_,B2AI_1_untreated,F1,R6,,HPA035354,ENSG00000138376,
B2AI_1_untreated_F1_R7_,B2AI_1_untreated,F1,R7,,HPA035354,ENSG00000138376,
B2AI_1_untreated_F1_R8_,B2AI_1_untreated,F1,R8,,HPA035354,ENSG00000138376,
B2AI_1_untreated_B7_R1_,B2AI_1_untreated,B7,R1,,HPA035409,ENSG00000132356,
B2AI_1_untreated_B7_R2_,B2AI_1_untreated,B7,R2,,HPA035409,ENSG00000132356,
B2AI_1_untreated_B7_R3_,B2AI_1_untreated,B7,R3,,HPA035409,ENSG00000132356,
B2AI_1_untreated_B7_R4_,B2AI_1_untreated,B7,R4,,HPA035409,ENSG00000132356,
B2AI_1_untreated_B7_R5_,B2AI_1_untreated,B7,R5,,HPA035409,ENSG00000132356,
B2AI_1_untreated_B7_R6_,B2AI_1_untreated,B7,R6,,HPA035409,ENSG00000132356,
B2AI_1_untreated_B7_R7_,B2AI_1_untreated,B7,R7,,HPA035409,ENSG00000132356,
B2AI_1_untreated_B7_R8_,B2AI_1_untreated,B7,R8,,HPA035409,ENSG00000132356,
B2AI_1_untreated_H8_R1_,B2AI_1_untreated,H8,R1,,HPA035977,ENSG00000167548,
B2AI_1_untreated_H8_R2_,B2AI_1_untreated,H8,R2,,HPA035977,ENSG00000167548,
B2AI_1_untreated_H8_R3_,B2AI_1_untreated,H8,R3,,HPA035977,ENSG00000167548,
B2AI_1_untreated_H8_R4_,B2AI_1_untreated,H8,R4,,HPA035977,ENSG00000167548,
B2AI_1_untreated_H8_R5_,B2AI_1_untreated,H8,R5,,HPA035977,ENSG00000167548,
